id_del_proceso,referencia_del_proceso,entidad,nit_entidad,departamento_entidad,ciudad_entidad,ordenentidad,modalidad_de_contratacion,modalidad_corta,tipo_de_contrato,nombre_del_procedimiento,fecha_de_publicacion_del,fecha_adjudicacion,anio_adjudicacion,precio_base,valor_total_adjudicacion,respuestas_al_procedimiento,proveedores_unicos_con,proveedores_invitados,rango_oferentes,baja_competencia,nombre_del_proveedor,nit_del_proveedor_adjudicado,departamento_proveedor,ciudad_proveedor,estado_del_procedimiento,estado_resumen
CO1.REQ.6022168,MC-CD-031-2024,MUNICIPIO DE CERINZA,891857805,Boyacá,Cerinza,Territorial,Contratación Directa (con ofertas),Directa (ofertas),Otro,CONVENIO DE ASOCIACION SUSCRITO ENTRE EL MUNICIPIO DE CERINZA Y LA ASOCIACION DE SUSCRIPTORES DEL PROACUEDUCTO LA TENERIA VEREDA COBAGOTE PARA SUBSIDIAR A LOS USUARIOS DE LOS ESTRATOS 1; 2 Y 3,2024-04-01,2024-04-02,2024.0,13871340,13871340,1,1,1,1 oferente,1,ASOCIACION DE SUSCRIPTORES DEL PROACUEDUCTO LA TENERIA VEREDA COBAGOTE DEL MUNICIPIO DE CERINZA,9001518251,Boyacá,Cerinza,Seleccionado,Adjudicado
CO1.REQ.7269512,MIN-050-2024,ALCALDIA DE SIMITI BOLIVAR,890480006,Bolívar,No Definido,Territorial,Mínima cuantía,Mínima Cuantía,Consultoría,CONTRATO DE CONSULTORÍA,2024-12-03,2024-12-16,2024.0,24990000,24850800,5,5,0,2-5 oferentes,0,DESINAR S.A.S.,No Definido,No Definido,No Definido,Seleccionado,Adjudicado
CO1.REQ.3132958,SED-LP-DCCEE-039-2022 (Fase de Selección (Presentación de ofertas)),SECRETARIA DE EDUCACION DEL DISTRITO,8999990619,Distrito Capital de Bogotá,No Definido,Territorial,Licitación pública Obra Publica,Licitación Obra Pública,Obra,ADELANTAR OBRAS DE ADECUACIÓN; MEJORAMIENTO Y MANTENIMIENTO CORRECTIVO DE LAS PLANTAS FÍSICAS DE LA SECRETARIA DE EDUCACION DEL DISTRITO; ASI COMO LA EJECUCIÓN DE OBRAS MENORES; QUE PERMITAN A TRAVES,2022-07-19,2022-09-30,2022.0,132018906595,8519283128,27,27,0,6+ oferentes,0,CONSORCIO INGENIERIA I,No Definido,No Definido,No Definido,Seleccionado,Adjudicado
CO1.REQ.8743697,CD-GB-2818-2025,GOBERNACIÓN DE BOYACÁ,891800498,Boyacá,Tunja,Territorial,Contratación Directa (con ofertas),Directa (ofertas),Otro,CONTRATO DE ARRENDAMIENTO,2025-08-19,2025-08-20,2025.0,171410880,171410880,1,1,1,1 oferente,1,LEONARDO QUIROGA REYES,No Definido,No Definido,No Definido,Seleccionado,Adjudicado
CO1.REQ.5047410,MC-CVV-018-2023,FONDO DE VIVIENDA DE INTERES SOCIAL Y REFORMA URBANA DISTRITAL DE CARTAGENA DE INDIAS,800165392,Bolívar,No Definido,Territorial,Mínima cuantía,Mínima Cuantía,Prestación de servicios,REALIZAR MANTENIMIENTOS A CARPAS Y VALLAS DEL FONDO DE VIVIENDA DE INTERES SOCIAL Y REFORMA URBANA DISTRITAL,2023-09-20,2023-10-04,2023.0,14313350,9172987,6,6,0,6+ oferentes,0,NEURONA I+D SAS,900207450,Distrito Capital de Bogotá,Bogotá,Seleccionado,Adjudicado
CO1.REQ.1154101,SED-LP-DSA-002-2020 (Presentación de oferta),SECRETARIA DE EDUCACION DEL DISTRITO,8999990619,Distrito Capital de Bogotá,No Definido,Territorial,Licitación pública,Licitación Pública,Prestación de servicios,VIGILANCIA (Presentación de oferta),2020-02-17,2020-04-23,2020.0,109505643811,9343889058,53,53,0,6+ oferentes,0,UT FISE EDUCACION,No Definido,No Definido,Bogotá,Seleccionado,Adjudicado
CO1.REQ.6161537,IC-023-2024,SUBRED INTEGRADA DE SERVICIO DE SALUD CENTRO ORIENTE E.S.E 1,900959051,Distrito Capital de Bogotá,No Definido,Territorial,Contratación régimen especial (con ofertas),Rég. Especial (ofertas),Suministros,SUMINISTRO DE INSUMOS Y DISPOSITIVOS MEDICO QUIRURGICOS Y ELEMENTOS MEDICOS PARA LA SUBRED INTEGRADA DE SERVICIOS DE SALUD CENTRO ORIENTE E.S.E.,2024-04-29,2024-05-09,2024.0,768654548,68049298,16,16,0,6+ oferentes,0,BIOPLAST S.A.S,830040574,Distrito Capital de Bogotá,No Definido,Abierto,Adjudicado
CO1.REQ.5370630,PSA-MS-004 DE 2023,SUCRE - ALCALDIA MUNICIPIO DE SUCRE,892280061,Sucre,Sucre,Territorial,Contratación Directa (con ofertas),Directa (ofertas),Otro,CAMPAÑAS DE PREVENCION EN EDUCACION CIUDADANA Y LA CULTURA DE LEGALIDAD PARA LA PAZ,2023-12-01,2023-12-01,2023.0,32268500,32268500,1,1,349,1 oferente,1,INVERSIONES GYL,901377616,Sucre,Sucre,Seleccionado,Presentación de oferta
CO1.REQ.5453469,LP-DEO-SGI-092-2023 (Presentación de oferta),INVIAS,800215807,Distrito Capital de Bogotá,Bogotá,Nacional,Licitación pública,Licitación Pública,Prestación de servicios,SERVICIO DE MANTENIMIENTO RUTINARIO DE LAS VÍAS A CARGO DEL INVÍAS DIRECCION TERRITORIAL CASANARE MODULO 1 AL 14 (Presentación de oferta),2023-12-23,2024-05-06,2024.0,25459307559,1584604238,14,14,0,6+ oferentes,0,Cooperativa de trabajo asociado Nuevo Horizonte cta,No Definido,No Definido,No Definido,Seleccionado,Adjudicado
CO1.REQ.1264942,RG-CAENA-CD-2020-085,SENA REGIONAL GUAINÍA Grupo de Apoyo Administrativo Mixto,899999034,Guainía,Inírida,Nacional,Contratación Directa (con ofertas),Directa (ofertas),Otro,ARRIENDA CASA SENA,2020-04-29,2020-05-12,2020.0,20520000,20520000,1,1,1,1 oferente,1,ALEXANDRA MILENA RUIZ ANTIVAR,No Definido,No Definido,No Definido,Seleccionado,Adjudicado
CO1.REQ.8272728,SA-SS-003-2025 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),MUNICIPIO DE YARUMAL,890980096,Antioquia,Yarumal,Territorial,Selección Abreviada de Menor Cuantía,Menor Cuantía,Prestación de servicios,SA LOGÍSTICA ADULTO MAYOR (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),2025-05-16,2025-05-27,2025.0,398580000,398580000,1,1,8,1 oferente,1,VA-SI S.A.S,901710950,Antioquia,Medellín,Seleccionado,Adjudicado
CO1.REQ.4389001,SASI-IPCC-001-2023 (Presentación de oferta),INSTITUTO DE PATRIMONIO Y CULTURAL DE CARTAGENA DE INDIAS - IPCC,806013631,Bolívar,Cartagena,Territorial,Selección abreviada subasta inversa,Subasta Inversa,Compraventa,ADQUISICION DE EQUIPOS TECNOLOGICOS CON DESTINO AL INSTITUTO DE PATRIMONIO Y CULTURA - IPCC (Presentación de oferta),2023-04-13,2023-05-10,2023.0,102561650,90038287,12,10,0,6+ oferentes,0,MULTITINTAS.INK S.A.S,901378857,Santander,Bucaramanga,Seleccionado,Adjudicado
CO1.REQ.8792679,IT-MC-25-05,DEPARTAMENTO DE SANTANDER,890201235,Santander,Bucaramanga,Territorial,Mínima cuantía,Mínima Cuantía,Consultoría,CONSULTORÍA PARA LA ELABORACIÓN DEL ESTUDIO DE PATOLOGÍA ESTRUCTURAL EN LA SEDE CUSTODIO GARCÍA ROVIRA DEL MUNICIPIO DE MÁLAGA - SANTANDER,2025-08-27,2025-09-05,2025.0,110670737,109083730,1,1,0,1 oferente,1,HQ SERVICIOS E INVERSIONES S.A.S,No Definido,Santander,Puente Nacional,Seleccionado,Adjudicado
CO1.REQ.5155013,9CM-006-2023 (Presentación de oferta),ALCALDIA MUNICIPIO DE ARAUCA,800102504,Arauca,Arauca,Territorial,Concurso de méritos abierto,Concurso Méritos,Interventoría,INTERVENTORIA TECNICA; ADMINISTRATIVA Y FINANCIERA AL PROYECTO DE MEJORAMIENTO DE VIVIENDA EN EL MUNICIPIO DE ARAUCA; DEPARTAMENTO DE ARAUCA (Presentación de oferta),2023-10-10,2023-10-27,2023.0,87784900,87654000,1,1,0,1 oferente,1,CONSORCIO INTERMEJORAMIENTOS URBANOS 2023,901768203,No Definido,Arauca,Seleccionado,Adjudicado
CO1.REQ.3673140,IC 143-2022,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR E.S.E.**,900958564,Distrito Capital de Bogotá,Bogotá,Territorial,Contratación régimen especial (con ofertas),Rég. Especial (ofertas),Suministros,SUMINISTRO DE DISPOSITIVOS E INSUMOS MEDICOQUIRÚRGICOS CON APOYO TECNOLÓGICO PARA CUBRIR LAS NECESIDADES DE LOS SERVICIOS ASISTENCIALES EN LA SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR E.S.E.,2022-11-29,2022-12-22,2022.0,600782000,8824266,1,1,0,1 oferente,1,MEDTRONIC COLOMBIA S.A.,No Definido,No Definido,No Definido,Seleccionado,Adjudicado
CO1.REQ.8477668,SASP1025 (Presentación de oferta),INSTITUTO DEPARTAMENTAL DE SALUD DE NARIÑO,891280001,Nariño,No Definido,Territorial,Selección abreviada subasta inversa,Subasta Inversa,Compraventa,COMPRA DE EQUIPOS PARA EL LSP (Presentación de oferta),2025-06-27,2025-07-18,2025.0,2020773278,28436000,23,18,0,6+ oferentes,0,BOSTONIA SAS,800119030,Cundinamarca,No Definido,Seleccionado,Adjudicado
CO1.REQ.1194318,IP-003-2020 Mto Plantas Eléctricas,ESCUELA TECNOLÓGICA INSTITUTO TÉCNICO CENTRAL,860523694,Distrito Capital de Bogotá,Bogotá,Nacional,Mínima cuantía,Mínima Cuantía,Prestación de servicios,IP-003-2020 Mto Plantas Eléctricas,2020-03-11,2020-07-02,2020.0,21289100,13996780,11,11,0,6+ oferentes,0,RIDA,901049157,Distrito Capital de Bogotá,No Definido,Seleccionado,Adjudicado
CO1.REQ.5976533,PN UPRES DECHO CD IA 005 2024,UNIDAD PRESTADORA DE SALUD CHOCO,800140951,Chocó,Quibdó,Nacional,Contratación Directa (con ofertas),Directa (ofertas),Otro,PRESTACIÓN DE SERVICIO PARA LA TOMA DE MUESTRAS Y ANÁLISIS DE AGUA POTABLE; AGUA RESIDUAL Y LA FUENTE RECEPTORA PARA LA UNIDAD PRESTADORA DE SALUD CHOCÓ.,2024-03-19,2024-04-24,2024.0,726439,726439,1,1,201,1 oferente,1,CORPORACIÓN AUTÓNOMA REGIONAL PARA EL DESARROLLO SOSTENIBLE DEL CHOCO,899999238,Chocó,Quibdó,Seleccionado,Adjudicado
CO1.REQ.1320719,I.C 052-2020,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR E.S.E.**,900958564,Distrito Capital de Bogotá,Bogotá,Territorial,Contratación régimen especial (con ofertas),Rég. Especial (ofertas),Suministros,SUMINISTRO DE INSUMOS MEDICOQUIRURGICOS Y DISPOSITIVOS MÉDICOS Y APOYO TECNOLOGICO,2020-06-04,2020-08-11,2020.0,1714000000,30780970,31,31,0,6+ oferentes,0,Draeger Colombia S.A.,No Definido,Distrito Capital de Bogotá,No Definido,Seleccionado,Adjudicado
CO1.REQ.3979244,MC 05-2023,Rama Judicial  Dirección Seccional de Administración Judicial de Cartagena,800165831,Bolívar,Cartagena,Nacional,Mínima cuantía,Mínima Cuantía,Prestación de servicios,servicio de mudanza y transporte de mobiliario local e intermunicipal,2023-01-31,2023-02-14,2023.0,16000000,16000000,2,2,0,2-5 oferentes,0,PORTES DE COLOMBIA,830006177,Distrito Capital de Bogotá,No Definido,Seleccionado,Adjudicado
CO1.REQ.3549511,ISI 011 DE 2022 (Presentación de oferta),ENTIDAD DE GESTION ADMINISTRATIVA Y TECNICA,901036590,Distrito Capital de Bogotá,No Definido,Territorial,Selección abreviada subasta inversa,Subasta Inversa,Compraventa,ADQUISICIÓN DE EQUIPOS BIOMÉDICOS; MOBILIARIO Y DEMÁS ELEMENTOS NECESARIOS PARA LA DOTACIÓN DEL CAPS TINTAL Y MEXICANA DE LA SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE E.S.E (Presentación de,2022-10-31,2023-01-19,2023.0,3334270977,12080880,0,0,0,Sin ofertas,1,TECNICA ELECTROMEDICA S.A.,No Definido,Distrito Capital de Bogotá,Bogotá,Abierto,Presentación de oferta
CO1.REQ.375238,MC-312-DIADQ-CADCO CENAC-INGENIEROS - 2018,CENTRAL ADMINISTRATIVA ESPECIALIZADA INGENIEROS CENAC INGENIEROS,830087443,Distrito Capital de Bogotá,Bogotá,Nacional,Mínima cuantía,Mínima Cuantía,Interventoría,MC-312-DIADQ-CADCO CENAC-INGENIEROS - 2018,2018-03-02,2018-03-26,2018.0,52200000,44982000,3,3,0,2-5 oferentes,0,CUBIKO SAS,900686385,Distrito Capital de Bogotá,Bogotá,Seleccionado,Adjudicado
CO1.REQ.7340381,SAMC-019-2024 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),INSTITUTO TOLIMENSE DE FORMACION TECNICA PROFESIONAL,800173719,Tolima,Espinal,Nacional,Selección Abreviada de Menor Cuantía,Menor Cuantía,Obra,MANTENIMIENTO COLISEO (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),2024-12-19,2024-12-30,2024.0,259937154,259152464,1,1,39,1 oferente,1,Consorcio Estructura 2024,No Definido,No Definido,Espinal,Seleccionado,Adjudicado
CO1.REQ.1349089,MC-007-2020,GOBERNACIÓN DEL DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,892400038,"San Andrés, Providencia y Santa Catalina",San Andrés,Territorial,Mínima cuantía,Mínima Cuantía,Prestación de servicios,CONTRATAR EL SERVICIO DE VIGILANCIA EN 12 INMUEBLES DE LA ADMINISTRACIÓN DEPARTAMENTAL,2020-06-24,2020-07-01,2020.0,56309484,56309484,1,1,0,1 oferente,1,SOCIETY PROTECTION TECHNICS COLOMBIA LTDA,No Definido,No Definido,No Definido,Seleccionado,Adjudicado
CO1.REQ.1542004,PN HOCEN SA 014 2020 (Presentación de oferta),HOSPITAL CENTRAL DE LA POLICIA,830067597,Distrito Capital de Bogotá,Bogotá,Nacional,Selección abreviada subasta inversa,Subasta Inversa,Suministros,PN HOCEN SA 014 2020 (Presentación de oferta),2020-10-09,2020-11-19,2020.0,298034070,5000000,8,8,0,6+ oferentes,0,G BARCO SA,No Definido,No Definido,No Definido,Seleccionado,Presentación de oferta
